Title	Detection of Question-Answer Pairs in Email Conversations	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital column-bottom above-double-space above-line-space
Author	Lokesh Shrestha and Kathleen McKeown	page=0 xpos=2 ypos=0 left-column left-indent right-over font-largest column-top line-double-space line-space headchar-capital column-bottom
B-Affiliation	Columbia University	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-larger column-top headchar-capital
I-Affiliation	Computer Science Deparment	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Address	New York, NY 10027,	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital tailchar-comma
Address	USA,	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital tailchar-comma
Email	lokesh@cs.columbia.edu, kathy@cs.columbia.edu	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-line-space
B-Abstract	While sentence extraction as an approach to	page=0 xpos=0 ypos=2 left-column left-indent right-indent font-smallest hanged-line longer-tail line-space headchar-capital
I-Abstract	summarization has been shown to work in docu-	page=0 xpos=0 ypos=2 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	ments of certain genres, because of the conver-	page=0 xpos=0 ypos=2 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	sational nature of email communication where	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	utterances are made in relation to one made	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	previously, sentence extraction may not capture	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	the necessary segments of dialogue that would	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	make a summary coherent. In this paper, we	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	present our work on the detection of question-	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	answer pairs in an email conversation for the	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	task of email summarization. We show that var-	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	ious features based on the structure of email-	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	threads can be used to improve upon lexical	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	similarity of discourse segments for question-	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	answer pairing.	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-largest hanged-line line-double-space line-space numbered-heading1 above-line-space
B-Body	In this paper, we discuss work on the detection of	page=0 xpos=0 ypos=5 left-column right-indent aligned-line longer-tail line-space headchar-capital
I-Body	question and answer pairs in email threads, i.e., co-	page=0 xpos=0 ypos=5 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	herent exchanges of email messages among several	page=0 xpos=0 ypos=5 left-column right-indent aligned-line headchar-lower
I-Body	participants. Email is a written medium of asyn-	page=0 xpos=0 ypos=6 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	chronous multi-party communication. This means	page=0 xpos=0 ypos=6 left-column right-indent aligned-line headchar-lower
I-Body	that, as in face-to-face spoken dialog, the email	page=0 xpos=0 ypos=6 left-column right-indent aligned-line headchar-lower
I-Body	thread as a whole is a collaborative effort with inter-	page=0 xpos=0 ypos=6 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	action among the discourse participants. However,	page=0 xpos=0 ypos=6 left-column right-indent aligned-line headchar-lower tailchar-comma
I-Body	unlike spoken dialog, the discourse participants are	page=0 xpos=0 ypos=7 left-column right-indent aligned-line headchar-lower
I-Body	not physically co-present, so that the written word is	page=0 xpos=0 ypos=7 left-column right-indent aligned-line headchar-lower
I-Body	the only channel of communication. Furthermore,	page=0 xpos=0 ypos=7 left-column right-indent aligned-line headchar-lower tailchar-comma
I-Body	replies do not happen immediately, so that respon-	page=0 xpos=0 ypos=7 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	ders need to take special precautions to identify rel-	page=0 xpos=0 ypos=7 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	evant elements of the discourse context (for exam-	page=0 xpos=0 ypos=8 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	ple, by quoting previous messages). Thus, email is	page=0 xpos=0 ypos=8 left-column right-indent aligned-line headchar-lower
I-Body	a distinct linguistic genre that poses its own chal-	page=0 xpos=0 ypos=8 left-column right-indent aligned-line itemization headchar-lower tailchar-hiphen
E-Body	lenges to summarization.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	With the increasing popularity of email as a	page=0 xpos=0 ypos=8 left-column left-indent right-indent indented-line longer-tail headchar-capital
I-Body	means of communication, an increasing number of	page=0 xpos=0 ypos=9 left-column right-indent hanged-line headchar-lower
I-Body	meetings are scheduled, events planned, issues re-	page=0 xpos=0 ypos=9 left-column right-indent aligned-line headchar-lower tailchar-hiphen
I-Body	solved, and questions answered through emails. As	page=0 xpos=0 ypos=9 left-column right-indent aligned-line headchar-lower
I-Body	the number of emails in one’s mailbox increases, in-	page=0 xpos=0 ypos=9 left-column right-indent aligned-line headchar-lower tailchar-hiphen column-bottom
I-Body	__Figure 1__	page=0 xpos=5 ypos=2 right-column left-over right-indent box column-top figure-area above-double-space above-line-space
B-Caption	Figure 1: Sample summary obtained with sentence	page=0 xpos=5 ypos=5 right-column full-justified longer-tail line-double-space line-space string-figure headchar-capital
E-Caption	extraction	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower above-blank-line above-double-space above-line-space
I-Body	formation from past conversations becomes increas-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-lower tailchar-hiphen
I-Body	ingly inaccessible and difficult to manage. For ex-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ample, a number of emails can be used in schedul-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing a meeting, and a search for information on the	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	meeting may retrieve all the intermediate emails,	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	thus hindering one’s access to the required informa-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion. Access to required information could be dra-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	matically improved by querying summaries of email	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	conversations	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower
B-Body	While summarization of email conversations	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail headchar-capital
I-Body	seems a natural way to improve upon current	page=0 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower
I-Body	methods of email management, research on email	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	summarization is in early stages. Consider an	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
