Title	Multilingual and cross-lingual news topic tracking	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Bruno Pouliquen, Ralf Steinberger, Camelia Ignat, Emilia Käsper & Irina Temnikova	page=0 xpos=0 ypos=0 single-column left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital above-line-space
B-Affiliation	Joint Research Centre, European Commission	page=0 xpos=2 ypos=0 single-column left-indent right-indent indented-line shorter-tail line-space headchar-capital above-line-space
Address	T.P. 267, Via E. Fermi 1	page=0 xpos=3 ypos=0 single-column left-indent right-indent indented-line shorter-tail line-space headchar-capital
Address	21020 Ispra (VA), Italy	page=0 xpos=3 ypos=0 single-column left-indent right-indent shorter-tail above-line-space
URL	http://www.jrc.it/langtech	page=0 xpos=3 ypos=1 single-column left-indent right-indent aligned-line longer-tail line-space headchar-lower above-line-space
Email	Firstname.Lastname@jrc.it	page=0 xpos=3 ypos=1 single-column left-indent right-indent line-space symbol-atmark headchar-capital column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	We are presenting a working system for automated	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	news analysis that ingests an average total of 7600	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	news articles per day in five languages. For each	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	language, the system detects the major news stories	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	of the day using a group-average unsupervised ag-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	glomerative clustering process. It also tracks, for	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	each cluster, related groups of articles published	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	over the previous seven days, using a cosine of	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	weighted terms. The system furthermore tracks re-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	lated news across languages, in all language pairs	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	involved. The cross-lingual news cluster similarity	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	is based on a linear combination of three types of	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	input: (a) cognates, (b) automatically detected ref-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	erences to geographical place names and (c) the re-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	sults of a mapping process onto a multilingual clas-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	sification system. A manual evaluation showed that	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	the system produces good results.	page=0 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent hanged-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Most large organisations, companies and politi-	page=0 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	cal parties have a department analysing the news	page=0 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower
I-Body	on a daily basis. Motivations differ, but often these	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	organisations want to know how they and their	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	leading members are represented in the news, or	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	they need to know whether there has been any	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	event they ought to know about. Examples of ex-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	isting news gathering and analysis systems are In-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	formedia <sup>1</sup> and the Europe Media Monitor (Best et	page=0 xpos=0 ypos=6 left-column full-justified font-larger aligned-line headchar-lower
I-Body	al. 2002). DARPA has taken an interest in the do-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	main and launched, in 1996, the Topic Detection	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	and Tracking task <sup>2</sup> (TDT) under the TIDES pro-	page=0 xpos=0 ypos=7 left-column full-justified font-larger aligned-line headchar-lower tailchar-hiphen
I-Body	gram. It distinguishes three major tasks: (a) seg-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentation of a continuous information flow (e.g.	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	spoken news) into individual news items, (b) de-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tection of breaking news, i.e. of a new subject that	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	has not previously been discussed, and (c) topic	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	tracking, i.e. the identification of related news over	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	time. Our task is the analysis of a multilingual col-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lection of written news articles, which means that	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	segmentation (task a) is of no relevance. Neither	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	do we present here work on the detection of new	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower above-blank-line above-double-space above-line-space
B-Footnote	<sup>1</sup> http://www.informedia.cs.cmu.edu/	page=0 xpos=0 ypos=9 left-column left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space headchar-super
