Title	Modelling Multilinguality in Ontologies	page=0 xpos=2 ypos=0 single-column left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Elena Montiel-Ponsoda, Guadalupe Aguado de Cea, Wim Peters	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital column-bottom
Author	Asunción Gómez-Pérez	page=0 xpos=1 ypos=0 left-column left-indent right-indent font-larger column-top headchar-capital
B-Affiliation	Ontology Engineering Group	page=0 xpos=1 ypos=0 left-column left-indent right-indent font-larger hanged-line longer-tail headchar-capital column-bottom
B-Affiliation	Sheffield Natural Language	page=0 xpos=6 ypos=0 right-column left-indent right-indent font-larger column-top headchar-capital
I-Affiliation	Processing Group	page=0 xpos=7 ypos=0 right-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital column-bottom
I-Affiliation	Universidad Politécnica de Madrid University of Sheffield	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-larger column-top headchar-capital above-line-space
Email	emontiel@delicias.dia.fi.upm.es, w.peters@dcs.shef.ac.uk	page=0 xpos=0 ypos=1 single-column left-indent right-over font-largest hanged-line longer-tail line-space symbol-atmark headchar-lower column-bottom above-double-space above-line-space
Email	{lupe,asun}@fi.upm.es	page=0 xpos=1 ypos=1 left-column left-indent font-smaller column-top line-double-space line-space symbol-atmark above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=1 left-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	Multilinguality in ontologies has become	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	an impending need for institutions	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	worldwide with valuable linguistic re-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	sources in different natural languages.	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	Since most ontologies are developed in	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	one language, obtaining multilingual on-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tologies implies to localize or adapt them	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	to a concrete language and culture com-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	munity. As the adaptation of the ontology	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	conceptualization demands considerable	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	efforts, we propose to modify the ontol-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ogy terminological layer, and provide a	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
