Title	Word Sense Induction:	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital tailchar-colon
Title	Triplet-Based Clustering and Automatic Evaluation	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital above-blank-line above-double-space above-line-space
Author	Stefan Bordag	page=0 xpos=4 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Natural Language Processing Department	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
I-Affiliation	University of Leipzig	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Address	Germany	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Email	sbordag@informatik.uni-leipzig.de	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent hanged-line longer-tail symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	In this paper a novel solution to auto-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	matic and unsupervised word sense induc-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion (WSI) is introduced. It represents an	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	instantiation of the ‘one sense per colloca-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion’ observation (Gale et al., 1992). Like	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line year headchar-lower
I-Abstract	most existing approaches it utilizes clus-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tering of word co-occurrences. This ap-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	proach differs from other approaches to	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	WSI in that it enhances the effect of the	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	one sense per collocation observation by	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	using triplets of words instead of pairs.	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	The combination with a two-step cluster-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	ing process using sentence co-occurrences	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	as features allows for accurate results. Ad-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ditionally, a novel and likewise automatic	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and unsupervised evaluation method in-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	spired by Schütze’s (1992) idea of evalu-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line year headchar-lower tailchar-hiphen
I-Abstract	ation of word sense disambiguation algo-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	rithms is employed. Offering advantages	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	like reproducability and independency of	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	a given biased gold standard it also en-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line itemization headchar-lower tailchar-hiphen
I-Abstract	ables automatic parameter optimization of	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the WSI algorithm.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=7 left-column right-indent font-larger hanged-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The aim of word sense induction <sup>1</sup> (WSI) is to find	page=0 xpos=0 ypos=7 left-column full-justified font-largest aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	senses of a given target word (Yarowski, 1995)	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	automatically and if possible in an unsupervised	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	manner. WSI is akin to word sense disambiguation	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	(WSD) both in methods employed and in prob-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line tailchar-hiphen
I-Body	lems encountered, such as vagueness of sense dis-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tinctions (Kilgarriff, 1997). The input to a WSI al-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	gorithm is a target word to be disambiguated, e.g.	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period above-double-space above-line-space
B-Footnote	<sup>1</sup> Sometimes called word sense discovery (Dorow and	page=0 xpos=0 ypos=9 left-column left-indent indented-line line-double-space line-space headchar-super
I-Footnote	Widdows, 2003) or word sense discrimination (Purandare,	page=0 xpos=0 ypos=9 left-column full-justified font-smallest hanged-line year headchar-capital tailchar-comma
I-Footnote	2004; Velldal, 2005)	page=0 xpos=0 ypos=9 left-column right-indent font-smallest aligned-line shorter-tail year column-bottom
I-Body	space, and the output is a number of word sets rep-	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	resenting the various senses, e.g. (3-dimensional,	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	expanse, locate) and (office, building, square).	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Such results can be at the very least used as empir-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ically grounded suggestions for lexicographers or	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	as input for WSD algorithms. Other possible uses	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	include automatic thesaurus or ontology construc-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion, machine translation or information retrieval.	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	But the usefulness of WSI in real-world applica-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital tailchar-hiphen
E-Body	tions has yet to be tested and proved.	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Related work	page=0 xpos=5 ypos=4 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	A substantial number of different approaches to	page=0 xpos=5 ypos=4 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	WSI has been proposed so far. They are all based	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital
I-Body	on co-occurrence statistics, albeit using differ-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ent context representations such as co-occurrence	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	of words within phrases (Pantel and Lin, 2002;	page=0 xpos=5 ypos=5 right-column full-justified aligned-line year headchar-lower tailchar-semicolon
I-Body	Dorow and Widdows, 2003; Velldal, 2005), bi-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	grams (Schütze, 1998; Neill, 2002; Udani et al.,	page=0 xpos=5 ypos=5 right-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	2005), small windows around a word (Gauch and	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year
