Title	Automatic Segmentation of Multiparty Dialogue	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Pei-Yun Hsueh Johanna D. Moore Steve Renals	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	School of Informatics School of Informatics School of Informatics	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
I-Affiliation	University of Edinburgh University of Edinburgh University of Edinburgh	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Address	Edinburgh, EH8 9LW, GB Edinburgh, EH8 9LW, GB Edinburgh, EH8 9LW, GB	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Email	p.hsueh@ed.ac.uk J.Moore@ed.ac.uk s.renals@ed.ac.uk	page=0 xpos=0 ypos=1 single-column left-indent right-indent indented-line symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	In this paper, we investigate the prob-	page=0 xpos=0 ypos=2 left-column left-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	lem of automatically predicting segment	page=0 xpos=0 ypos=2 left-column left-indent aligned-line headchar-lower
I-Abstract	boundaries in spoken multiparty dialogue.	page=0 xpos=0 ypos=3 left-column left-indent aligned-line headchar-lower tailchar-period
I-Abstract	We extend prior work in two ways. We	page=0 xpos=0 ypos=3 left-column left-indent aligned-line headchar-capital
I-Abstract	first apply approaches that have been pro-	page=0 xpos=0 ypos=3 left-column left-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	posed for predicting top-level topic shifts	page=0 xpos=0 ypos=3 left-column left-indent aligned-line headchar-lower
I-Abstract	to the problem of identifying subtopic	page=0 xpos=0 ypos=3 left-column left-indent aligned-line headchar-lower
I-Abstract	boundaries. We then explore the impact	page=0 xpos=0 ypos=4 left-column left-indent aligned-line headchar-lower
I-Abstract	on performance of using ASR output as	page=0 xpos=0 ypos=4 left-column left-indent aligned-line headchar-lower
I-Abstract	opposed to human transcription. Exam-	page=0 xpos=0 ypos=4 left-column left-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ination of the effect of features shows	page=0 xpos=0 ypos=4 left-column left-indent aligned-line headchar-lower
I-Abstract	that predicting top-level and predicting	page=0 xpos=0 ypos=4 left-column left-indent aligned-line headchar-lower
I-Abstract	subtopic boundaries are two distinct tasks:	page=0 xpos=0 ypos=4 left-column left-indent aligned-line headchar-lower tailchar-colon
I-Abstract	(1) for predicting subtopic boundaries,	page=0 xpos=0 ypos=5 left-column left-indent aligned-line itemization tailchar-comma
I-Abstract	the lexical cohesion-based approach alone	page=0 xpos=0 ypos=5 left-column left-indent aligned-line headchar-lower
I-Abstract	can achieve competitive results, (2) for	page=0 xpos=0 ypos=5 left-column left-indent aligned-line headchar-lower
