Title	A Three-Tiered Evaluation Approach for	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-double-space above-line-space
Title	Interactive Spoken Dialogue Systems	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-double-space line-space headchar-capital above-double-space above-line-space
Author	Kathleen Stibler and James Denny	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-double-space line-space headchar-capital above-line-space
B-Affiliation	Lockheed Martin Advanced Technology Laboratories	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail line-space headchar-capital above-line-space
Address	1 Federal Street, A&E 3W	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-space numbered-heading1 above-line-space
Address	Camden NJ 08102	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-space headchar-capital above-double-space above-line-space
Email	{kcomegno, jdenny}@atl.lmco.com	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail line-double-space line-space symbol-atmark column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	ABSTRACT	page=0 xpos=0 ypos=2 left-column right-indent font-largest column-top line-blank-line line-double-space line-space headchar-capital
B-Abstract	We describe a three-tiered approach for evaluation of spoken	page=0 xpos=0 ypos=2 left-column full-justified aligned-line longer-tail headchar-capital
I-Abstract	dialogue systems. The three tiers measure user satisfaction,	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Abstract	system support of mission success and component performance.	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-period
I-Abstract	We describe our use of this approach in numerous fielded user	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Abstract	studies conducted with the U.S. military.	page=0 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
