Title	Automatic generation of paraphrases	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital
Title	to be used as translation references	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-lower
Title	in objective evaluation measures of machine translation	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-lower column-bottom above-blank-line above-double-space above-line-space
Author	Yves Lepage Etienne Denoual	page=0 xpos=2 ypos=1 left-column left-indent right-over font-largest column-top line-blank-line line-double-space line-space headchar-capital column-bottom
B-Affiliation	ATR – Spoken language communication research labs	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-largest column-top headchar-capital
Address	Keihanna gakken tosi, 619-0288 Kyoto, Japan	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-largest indented-line shorter-tail headchar-capital
Email	{yves.lepage, etienne.denoual}@atr.jp	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-largest hanged-line longer-tail symbol-atmark column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	We propose a method that automat-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	ically generates paraphrase sets from	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	seed sentences to be used as refer-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ence sets in objective machine trans-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	lation evaluation measures like BLEU	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and NIST. We measured the quality	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	of the paraphrases produced in an ex-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	periment, i.e., (i) their grammatical-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ity: at least 99% correct sentences;	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-larger aligned-line headchar-lower tailchar-semicolon
I-Abstract	(ii) their equivalence in meaning: at	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line
I-Abstract	least 96% correct paraphrases either	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-larger aligned-line headchar-lower
I-Abstract	by meaning equivalence or entailment;	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-semicolon
I-Abstract	and, (iii) the amount of internal lexi-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	cal and syntactical variation in a set of	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	paraphrases: slightly superior to that	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	of hand-produced sets. The paraphrase	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	sets produced by this method thus seem	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	adequate as reference sets to be used for	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	MT evaluation.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-capital tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=6 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	We present and evaluate a method to automati-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	cally produce paraphrases from seed sentences,	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	from a given linguistic resource. Lexical and syn-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tactical variation among paraphrases is handled	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	through commutations exhibited in proportional	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	analogies, while well-formedness is enforced by	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	filtering with sequences of characters of a cer-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tain length. In an experiment, the quality of the	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	paraphrases produced, i.e., (i) their grammatical-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity, (ii) their equivalence in meaning with the seed	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	sentence, and, (iii) the internal lexical and syn-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tactical variation in a set of paraphrases, was as-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	sessed by sampling and objective measures.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
B-SectionHeader	2 Motivation	page=0 xpos=5 ypos=2 right-column right-indent font-largest column-top numbered-heading1 above-double-space above-line-space
B-Body	Paraphrases are an important element in the eval-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	uation of many natural language processing tasks.	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Specifically, in the automatic evaluation of ma-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	chine translation systems, the quality of transla-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion candidates is judged against reference trans-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lations that are paraphrases in the target language.	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Automatic measures like BLEU (P APINENI et al.,	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital tailchar-comma
I-Body	2001) or NIST (D ODDINGTON , 2002) do so by	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year
E-Body	counting sequences of words in such paraphrases.	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-period
B-Body	It is expected that such reference sets contain	page=0 xpos=5 ypos=4 right-column left-indent indented-line headchar-capital
I-Body	synonymous sentences (i.e., paraphrases) that ex-	page=0 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	plicit possible lexical and syntactical variations in	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	order to cope with translation variations in terms	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	and structures (B ABYCH and H ARTLEY , 2004).	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	In order to produce such reference sets, we pro-	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	pose a method to generate paraphrases from a	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	seed sentence where lexical and syntactical vari-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ations are handled by the use of commutations as	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	captured by proportional analogies whereas N -	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sequences are used to enforce fluency of expres-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	sion and adequacy of meaning.	page=0 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 The linguistic resource used	page=0 xpos=5 ypos=6 right-column right-indent font-largest aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The linguistic resource used in the experiment	page=0 xpos=5 ypos=6 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	presented in this paper relies on the C-STAR col-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lection of utterances called Basic Traveler’s Ex-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pressions <sup>1</sup> . This is a multilingual resource of ex-	page=0 xpos=5 ypos=7 right-column full-justified font-largest aligned-line headchar-lower tailchar-hiphen
I-Body	pressions from the travel and tourism domain that	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	contains 162,318 aligned translations in several	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	languages, among which English. The items are	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	quite short as the following examples show (one	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	line is one item in the corpus), and as the figures	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	in Table 1 show.	page=0 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Footnote	<sup>1</sup> http://www.c-star.org/.	page=0 xpos=5 ypos=8 right-column left-indent right-indent font-smaller indented-line longer-tail line-double-space line-space headchar-super tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	57	page=0 xpos=4 ypos=9 single-column centered left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
Table	__Table 1__	page=1 xpos=2 ypos=-1 single-column centered left-indent right-indent box page-top table-area above-double-space above-line-space
B-Caption	Table 1: Some statistics about the linguistic resource	page=1 xpos=2 ypos=0 single-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space string-table headchar-capital above-double-space above-line-space
Table	__Table 2__	page=1 xpos=2 ypos=0 single-column centered left-indent right-indent box indented-line shorter-tail line-double-space line-space table-area above-double-space above-line-space
B-Caption	Table 2: Some statistics about the paraphrases produced	page=1 xpos=2 ypos=1 single-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space string-table headchar-capital column-bottom above-blank-line above-double-space above-line-space
B-Listitem	Thank you so much. Keep the change.	page=1 xpos=0 ypos=1 left-column left-indent right-indent column-top line-blank-line line-double-space line-space headchar-capital tailchar-period
B-Listitem	Bring plenty of lemon, please.	page=1 xpos=0 ypos=1 left-column left-indent right-indent aligned-line shorter-tail headchar-capital tailchar-period
B-Listitem	Please tell me about some interesting places	page=1 xpos=0 ypos=2 left-column left-indent right-indent aligned-line longer-tail headchar-capital
I-Listitem	[near here.	page=1 xpos=3 ypos=2 left-column left-indent right-indent indented-line tailchar-period
B-Listitem	Thank you. Please sign here.	page=1 xpos=0 ypos=2 left-column left-indent right-indent hanged-line shorter-tail headchar-capital tailchar-period
B-Listitem	How do you spell your name?	page=1 xpos=0 ypos=2 left-column left-indent right-indent aligned-line longer-tail headchar-capital above-line-space
B-Body	The quality of this resource is of at least 99%	page=1 xpos=0 ypos=2 left-column left-indent font-larger longer-tail line-space headchar-capital
I-Body	correct sentences (p-value = 1.92%). The few in-	page=1 xpos=0 ypos=3 left-column full-justified font-larger hanged-line headchar-lower tailchar-hiphen
I-Body	correct sentences contain spelling errors or slight	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	syntactical mistakes.	page=1 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	4 Our paraphrasing methodology	page=1 xpos=0 ypos=3 left-column right-indent font-largest aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-SubsectionHeader	4.1 Our algorithm	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	The proposed method consists in two phases:	page=1 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-colon
I-Body	firstly, paraphrase detection through equality of	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	translation and secondly, paraphrase generation	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	through linguistic commutations based on the	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	data produced in the first phase:	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Listitem	• Detection: find sentences which share a	page=1 xpos=0 ypos=5 left-column left-indent font-largest indented-line longer-tail line-double-space line-space itemization
I-Listitem	same translation in the multilingual resource	page=1 xpos=0 ypos=5 left-column left-indent indented-line headchar-lower
I-Listitem	(4.2);	page=1 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail tailchar-semicolon above-double-space above-line-space
B-Listitem	• Generation: produce new sentences by ex-	page=1 xpos=0 ypos=6 left-column left-indent font-largest hanged-line longer-tail line-double-space line-space itemization tailchar-hiphen
I-Listitem	ploiting commutations (4.3); limit combina-	page=1 xpos=0 ypos=6 left-column left-indent indented-line headchar-lower tailchar-hiphen
I-Listitem	torics by contiguity constraints (4.4).	page=1 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	Each of the steps of the previous algorithm is	page=1 xpos=0 ypos=6 left-column left-indent hanged-line longer-tail line-double-space line-space headchar-capital
E-Body	explained in details in the following sections.	page=1 xpos=0 ypos=6 left-column right-indent hanged-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	4.2 Initialisation by paraphrase detection	page=1 xpos=0 ypos=7 left-column right-indent aligned-line line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	In a first phase we initialise our data by para-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	phrase detection. By definition, paraphrase is	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	an equivalence in meaning, thus, different sen-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tences having the same translation ought to be	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	considered equivalent in meaning, i.e., they are	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	paraphrases <sup>2</sup> . As the linguistic resource used	page=1 xpos=0 ypos=8 left-column full-justified font-largest aligned-line headchar-lower above-line-space
B-Footnote	<sup>2</sup> This is basically the same approach as (O HTAKE and	page=1 xpos=0 ypos=8 left-column left-indent indented-line line-space headchar-super
I-Footnote	Y AMAMOTO , 2003, p. 3 and 4).	page=1 xpos=0 ypos=8 left-column right-indent font-smallest hanged-line shorter-tail year headchar-capital tailchar-period column-bottom
I-Body	in the present experiment is a multilingual cor-	page=1 xpos=4 ypos=1 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	pus, we have at our disposal the corresponding	page=1 xpos=4 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	translations in different languages for each of its	page=1 xpos=4 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	sentences. For instance, the following English	page=1 xpos=4 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	sentences share a common Japanese translation	page=1 xpos=4 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	shown in bold face below. Therefore, they are	page=1 xpos=4 ypos=2 right-column full-justified aligned-line headchar-lower
E-Body	paraphrases.	page=1 xpos=4 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Listitem	A beer, please. ϏʔϧΛ͍ͩ͘͞ɻ	page=1 xpos=5 ypos=3 right-column left-indent right-indent font-largest indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Listitem	ϏʔϧΛҰຊɻ	page=1 xpos=7 ypos=3 right-column left-indent right-indent font-larger indented-line shorter-tail
I-Listitem	ϏʔϧΛҰຊ͍ͩ͘͞ɻ	page=1 xpos=7 ypos=3 right-column left-indent right-over font-larger aligned-line longer-tail above-double-space above-line-space
B-Listitem	Beer, please. Ϗʔϧɻ	page=1 xpos=6 ypos=4 right-column left-indent right-indent font-largest hanged-line shorter-tail line-double-space line-space headchar-capital
I-Listitem	ϏʔϧΛ͓ئ͍͠·͢ɻ	page=1 xpos=7 ypos=4 right-column left-indent right-over font-larger indented-line longer-tail
I-Listitem	ϏʔϧΛ͍ͩ͘͞ɻ	page=1 xpos=7 ypos=4 right-column left-indent right-indent font-larger aligned-line shorter-tail
I-Listitem	ϏʔϧΛԼ͍͞ɻ	page=1 xpos=7 ypos=4 right-column left-indent right-indent font-larger aligned-line shorter-tail
I-Listitem	ϏʔϧҰഋ͍ͩ͘͞ɻ	page=1 xpos=7 ypos=4 right-column left-indent right-over font-larger aligned-line longer-tail above-double-space above-line-space
B-Listitem	Can I have a beer? ϏʔϧΛ͍ͩ͘͞ɻ	page=1 xpos=5 ypos=5 right-column left-indent right-indent font-largest hanged-line shorter-tail line-double-space line-space headchar-capital above-double-space above-line-space
B-Listitem	Give me a beer, please. ϏʔϧΛ͍ͩ͘͞ɻ	page=1 xpos=5 ypos=5 right-column left-indent right-indent font-largest hanged-line line-double-space line-space headchar-capital above-double-space above-line-space
