Title	Squibs and Discussions	page=0 xpos=0 ypos=0 single-column right-indent font-largest page-top headchar-capital above-double-space above-line-space
Title	A Note on Typing Feature Structures	page=0 xpos=0 ypos=0 single-column right-indent font-largest aligned-line longer-tail line-double-space line-space headchar-capital above-blank-line above-double-space above-line-space
Author	Shuly Wintner <sup>∗</sup> Anoop Sarkar <sup>†</sup>	page=0 xpos=0 ypos=1 single-column right-indent font-largest aligned-line longer-tail line-blank-line line-double-space line-space symbol-dagger headchar-capital
B-Affiliation	University of Haifa University of Pennsylvania	page=0 xpos=0 ypos=1 single-column right-indent aligned-line longer-tail headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	Feature structures are used to convey linguistic information in a variety of linguistic formalisms.	page=0 xpos=0 ypos=1 single-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-period above-line-space
I-Abstract	Various definitions of feature structures exist; one dimension of variation is typing: unlike untyped	page=0 xpos=0 ypos=2 single-column full-justified aligned-line line-space headchar-capital above-line-space
I-Abstract	feature structures, typed ones associate a type with every structure and impose appropriateness	page=0 xpos=0 ypos=2 single-column full-justified aligned-line line-space headchar-lower above-line-space
I-Abstract	constraints on the occurrences of features and on the values that they take. This work demon-	page=0 xpos=0 ypos=2 single-column full-justified aligned-line line-space headchar-lower tailchar-hiphen above-line-space
I-Abstract	strates the benefits that typing can carry even for linguistic formalisms that use untyped feature	page=0 xpos=0 ypos=2 single-column full-justified aligned-line line-space headchar-lower above-line-space
I-Abstract	structures. We present a method for validating the consistency of (untyped) feature structure	page=0 xpos=0 ypos=2 single-column full-justified aligned-line line-space headchar-lower above-line-space
I-Abstract	specifications by imposing a type discipline. This method facilitates a great number of compile-	page=0 xpos=0 ypos=3 single-column full-justified aligned-line line-space headchar-lower tailchar-hiphen above-line-space
I-Abstract	time checks: many possible errors can be detected before the grammar is used for parsing. We have	page=0 xpos=0 ypos=3 single-column full-justified aligned-line line-space headchar-lower above-line-space
I-Abstract	constructed a type signature for an existing broad-coverage grammar of English and implemented	page=0 xpos=0 ypos=3 single-column full-justified aligned-line line-space headchar-lower above-line-space
I-Abstract	a type inference algorithm that operates on the feature structure specifications in the grammar	page=0 xpos=0 ypos=3 single-column full-justified aligned-line line-space itemization headchar-lower above-line-space
I-Abstract	and reports incompatibilities with the signature. We have detected a large number of errors in the	page=0 xpos=0 ypos=3 single-column full-justified aligned-line line-space headchar-lower above-line-space
I-Abstract	grammar, some of which are described in the article.	page=0 xpos=0 ypos=4 single-column right-indent aligned-line shorter-tail line-space headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1. Introduction	page=0 xpos=0 ypos=4 single-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space itemization above-blank-line above-double-space above-line-space
B-Body	Feature structures are used by a variety of linguistic formalisms as a means for rep-	page=0 xpos=0 ypos=4 single-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Body	resenting different levels of linguistic information. They are usually associated with	page=0 xpos=0 ypos=4 single-column full-justified aligned-line headchar-lower
I-Body	more elementary structures (such as phrase structure rules or trees) to provide an addi-	page=0 xpos=0 ypos=5 single-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tional dimension for stating linguistic generalizations. A variant of feature structures,	page=0 xpos=0 ypos=5 single-column full-justified aligned-line headchar-lower tailchar-comma
