Title	Rule-based Entity Recognition and Coverage of SNOMED CT	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-line-space
Title	in Swedish Clinical Text	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-space headchar-lower above-double-space above-line-space
Author	Maria Skeppstedt <sup>1</sup> , Maria Kvist 1,2 , Hercules Dalianis 1	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail line-double-space line-space headchar-capital above-double-space above-line-space
B-Affiliation	<sup>1</sup> Dept. of Computer and Systems Sciences (DSV), Stockholm University, Forum 100, 164 40 Kista, Sweden	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail line-double-space line-space headchar-super
I-Affiliation	<sup>2</sup> Dept. of clinical immunology and transfusion medicine, Karolinska University Hospital, 171 76 Stockholm, Sweden	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-super above-blank-line above-double-space above-line-space
Email	mariask@dsv.su.se, maria.kvist@karolinska.se, hercules@dsv.su.se	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space symbol-atmark headchar-lower above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space string-abstract headchar-capital above-line-space
B-Abstract	Named entity recognition of the clinical entities disorders, findings and body structures is needed for information extraction from	page=0 xpos=0 ypos=1 single-column full-justified font-smallest hanged-line longer-tail line-space headchar-capital
I-Abstract	unstructured text in health records. Clinical notes from a Swedish emergency unit were annotated and used for evaluating a rule- and	page=0 xpos=0 ypos=2 single-column full-justified font-smallest aligned-line headchar-lower
I-Abstract	terminology-based entity recognition system. This system used different preprocessing techniques for matching terms to SNOMED CT,	page=0 xpos=0 ypos=2 single-column full-justified font-smallest aligned-line headchar-lower tailchar-comma
I-Abstract	and, one by one, four other terminologies were added. For the class body structure, the results improved with preprocessing, whereas	page=0 xpos=0 ypos=2 single-column full-justified font-smallest aligned-line headchar-lower
I-Abstract	only small improvements were shown for the classes disorder and finding. The best average results were achieved when all terminologies	page=0 xpos=0 ypos=2 single-column full-justified font-smallest aligned-line headchar-lower
