B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital above-line-space
I-Header	Main Papers , pp. 205-211	page=0 xpos=7 ypos=0 right-column left-indent font-smallest indented-line line-space headchar-capital above-line-space
I-Header	Edmonton, May-June 2003	page=0 xpos=7 ypos=0 right-column left-indent font-smallest indented-line line-space year headchar-capital column-bottom above-double-space above-line-space
Title	A Web-Trained Extraction Summarization System	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest column-top line-double-space line-space headchar-capital above-blank-line above-double-space above-line-space
Author	Liang Zhou and Eduard Hovy	page=0 xpos=3 ypos=1 single-column left-indent right-indent font-largest indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	USC Information Sciences Institute	page=0 xpos=3 ypos=1 single-column left-indent right-indent font-largest hanged-line longer-tail headchar-capital
Address	4676 Admiralty Way	page=0 xpos=4 ypos=1 single-column left-indent right-indent font-largest indented-line shorter-tail
Address	Marina del Rey, CA 90292-6695	page=0 xpos=3 ypos=1 single-column left-indent right-indent font-largest hanged-line longer-tail headchar-capital
Email	{liangz, hovy}@isi.edu	page=0 xpos=4 ypos=1 single-column left-indent right-indent font-largest indented-line shorter-tail symbol-atmark column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	A serious bottleneck in the development of	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Abstract	trainable text summarization systems is the	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	shortage of training data. Constructing such	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	data is a very tedious task, especially because	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	there are in general many different correct	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	ways to summarize a text. Fortunately we can	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	utilize the Internet as a source of suitable	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
