B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Header	Main Papers , pp. 118-125	page=0 xpos=7 ypos=0 right-column left-indent font-smallest indented-line headchar-capital
I-Header	Edmonton, May-June 2003	page=0 xpos=7 ypos=0 right-column left-indent font-smallest indented-line year headchar-capital column-bottom above-blank-line above-double-space above-line-space
Title	Statistical Sentence Condensation using Ambiguity Packing and Stochastic	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space headchar-capital
Title	Disambiguation Methods for Lexical-Functional Grammar	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-blank-line above-double-space above-line-space
Author	Stefan Riezler and Tracy H. King and Richard Crouch and Annie Zaenen	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA 94304	page=0 xpos=1 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-line-space
Email	{riezler|thking|crouch|zaenen}@parc.com	page=0 xpos=2 ypos=2 single-column centered left-indent right-indent font-larger indented-line shorter-tail line-space symbol-atmark column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=3 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	We present an application of ambiguity pack-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	ing and stochastic disambiguation techniques	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	for Lexical-Functional Grammars (LFG) to the	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	domain of sentence condensation. Our system	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	incorporates a linguistic parser/generator for	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	LFG, a transfer component for parse reduc-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	tion operating on packed parse forests, and a	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	maximum-entropy model for stochastic output	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	selection. Furthermore, we propose the use of	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	standard parser evaluation methods for auto-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	matically evaluating the summarization qual-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ity of sentence condensation systems. An ex-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	perimental evaluation of summarization qual-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ity shows a close correlation between the au-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tomatic parse-based evaluation and a manual	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	evaluation of generated strings. Overall sum-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	marization quality of the proposed system is	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	state-of-the-art, with guaranteed grammatical-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ity of the system output due to the use of a	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	constraint-based parser/generator.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=7 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Recent work in statistical text summarization has put for-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ward systems that do not merely extract and concate-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nate sentences, but learn how to generate new sentences	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	from hSummary, T exti tuples. Depending on the cho-	page=0 xpos=0 ypos=8 left-column full-justified font-larger aligned-line headchar-lower tailchar-hiphen
I-Body	sen task, such systems either generate single-sentence	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	“headlines” for multi-sentence text (Witbrock and Mittal,	page=0 xpos=0 ypos=8 left-column full-justified aligned-line tailchar-comma
I-Body	1999), or they provide a sentence condensation module	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year
I-Body	designed for combination with sentence extraction sys-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tems (Knight and Marcu, 2000; Jing, 2000). The chal-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	lenge for such systems is to guarantee the grammatical-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity and summarization quality of the system output, i.e.	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-period
