Title	Evaluating Multiple Aspects of Coherence in Student Essays	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital column-bottom above-double-space above-line-space
Author	Derrick Higgins Jill Burstein	page=0 xpos=0 ypos=0 left-column left-indent right-indent font-largest column-top line-double-space line-space headchar-capital
B-Affiliation	Educational Educational	page=0 xpos=0 ypos=0 left-column left-indent right-indent font-largest indented-line headchar-capital
I-Affiliation	Testing Service Testing Service	page=0 xpos=0 ypos=0 left-column left-indent right-indent font-largest hanged-line longer-tail headchar-capital above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=1 left-column centered left-indent right-indent font-largest indented-line shorter-tail line-blank-line line-double-space line-space string-abstract headchar-capital above-line-space
B-Abstract	Criterion <sup>SM</sup> Online Essay Evaluation Service	page=0 xpos=0 ypos=1 left-column centered left-indent right-indent font-largest hanged-line longer-tail line-space headchar-capital
I-Abstract	includes a capability that labels sentences in	page=0 xpos=0 ypos=1 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	student writing with essay-based discourse el-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ements (e.g., thesis statements). We describe	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	a new system that enhances Criterion’s capa-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line itemization headchar-lower tailchar-hiphen
I-Abstract	bility, by evaluating multiple aspects of co-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	herence in essays. This system identifies fea-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tures of sentences based on semantic similarity	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	measures and discourse structure. A support	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	vector machine uses these features to capture	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	breakdowns in coherence due to relatedness	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	to the essay question and relatedness between	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	discourse elements. Intra-sentential quality is	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	evaluated with rule-based heuristics. Results	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	indicate that the system yields higher perfor-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	mance than a baseline on all three aspects.	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Overview	page=0 xpos=0 ypos=4 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-line-space
B-Body	This work is motivated by a need for advanced discourse	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-space headchar-capital
I-Body	analysis capabilities for writing instruction applications.	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Criterion <sup>SM</sup> Online Essay Evaluation Service is an appli-	page=0 xpos=0 ypos=5 left-column full-justified font-largest aligned-line headchar-capital tailchar-hiphen
I-Body	cation for writing instruction which includes a capability	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	to annotate sentences in student essays with discourse el-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ement labels. These labels include the categories Thesis	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	Statement, Main Idea, Supporting Idea, and Conclusion	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital
I-Body	(Burstein et al., 2003b). Though it accurately annotates	page=0 xpos=0 ypos=6 left-column full-justified aligned-line year
I-Body	sentences with essay-based discourse labels, Criterion	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	does not provide an evaluation of the expressive quality	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	of the sentences that comprise a discourse segment. The	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	system might accurately label a student’s essay as hav-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
