Title	Extracting Paraphrases from a Parallel Corpus	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Regina Barzilay and Kathleen R. McKeown	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Computer Science Department	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
I-Affiliation	Columbia University	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Email	regina,kathy  @cs.columbia.edu	page=0 xpos=2 ypos=1 single-column left-indent right-indent box hanged-line longer-tail symbol-atmark headchar-lower
Address	10027, New York, NY, USA	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	While paraphrasing is critical both for	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	interpretation and generation of natu-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ral language, current systems use man-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ual or semi-automatic methods to col-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	lect paraphrases. We present an un-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	supervised learning algorithm for iden-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tification of paraphrases from a cor-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	pus of multiple English translations of	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the same source text. Our approach	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	yields phrasal and single word lexical	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	paraphrases as well as syntactic para-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	phrases.	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Paraphrases are alternative ways to convey the	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	same information. A method for the automatic	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	acquisition of paraphrases has both practical and	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	linguistic interest. From a practical point of view,	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	diversity in expression presents a major challenge	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	for many NLP applications. In multidocument	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	summarization, identification of paraphrasing is	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	required to find repetitive information in the in-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	put documents. In generation, paraphrasing is	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	employed to create more varied and fluent text.	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Most current applications use manually collected	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-capital
I-Body	paraphrases tailored to a specific application, or	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	utilize existing lexical resources such as Word-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	Net (Miller et al., 1990) to identify paraphrases.	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-capital tailchar-period
I-Body	However, the process of manually collecting para-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	phrases is time consuming, and moreover, the col-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lection is not reusable in other applications. Ex-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	isting resources only include lexical paraphrases;	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-semicolon
I-Body	they do not include phrasal or syntactically based	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
E-Body	paraphrases.	page=0 xpos=0 ypos=9 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	From a linguistic point of view, questions	page=0 xpos=0 ypos=9 left-column left-indent indented-line longer-tail headchar-capital
I-Body	concern the operative definition of paraphrases:	page=0 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower tailchar-colon column-bottom
I-Body	what types of lexical relations and syntactic	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Body	mechanisms can produce paraphrases? Many	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	linguists (Halliday, 1985; de Beaugrande and	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-lower
I-Body	Dressler, 1981) agree that paraphrases retain “ap-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	proximate conceptual equivalence”, and are not	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
