Title	Evaluating a Trainable Sentence Planner for a Spoken Dialogue System	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Owen Rambow Monica Rogati Marilyn A. Walker	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	AT&T Labs – Research Carnegie Mellon University AT&T Labs – Research	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Address	Florham Park, NJ, USA Pittsburgh, PA, USA Florham Park, NJ, USA	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-larger aligned-line headchar-capital above-line-space
Email	rambow@research.att.com mrogati+@cs.cmu.edu walker@research.att.com	page=0 xpos=0 ypos=1 single-column left-indent right-indent font-smallest indented-line shorter-tail line-space symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	Techniques for automatically training	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	modules of a natural language gener-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ator have recently been proposed, but	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	a fundamental concern is whether the	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line itemization headchar-lower
I-Abstract	quality of utterances produced with	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	trainable components can compete with	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	hand-crafted template-based or rule-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	based approaches. In this paper We ex-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	perimentally evaluate a trainable sen-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tence planner for a spoken dialogue sys-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tem by eliciting subjective human judg-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ments. In order to perform an ex-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	haustive comparison, we also evaluate	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	a hand-crafted template-based genera-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line itemization headchar-lower tailchar-hiphen
I-Abstract	tion component, two rule-based sen-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tence planners, and two baseline sen-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tence planners. We show that the train-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	able sentence planner performs better	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	than the rule-based systems and the	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	baselines, and as well as the hand-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	crafted system.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=7 left-column right-indent font-larger hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The past several years have seen a large increase	page=0 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	in commercial dialog systems. These systems	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	typically use system-initiative dialog strategies,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	with system utterances highly scripted for style	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	and register and recorded by voice talent. How-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ever several factors argue against the continued	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	use of these simple techniques for producing the	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	system side of the conversation. First, text-to-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	speech has improved to the point of being a vi-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	able alternative to pre-recorded prompts. Second,	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	there is a perceived need for spoken dialog sys-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
