Title	Using Machine Learning Techniques to Interpret WH-questions	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital column-bottom above-blank-line above-double-space above-line-space
Author	Ingrid Zukerman Eric Horvitz	page=0 xpos=2 ypos=0 left-column left-indent right-over font-larger column-top line-blank-line line-double-space line-space headchar-capital column-bottom
B-Affiliation	School of Computer Science and Software Engineering Microsoft Research	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-larger column-top headchar-capital column-bottom
I-Affiliation	Monash University One Microsoft Way	page=0 xpos=2 ypos=0 left-column left-indent right-over font-larger column-top headchar-capital column-bottom
Address	Clayton, Victoria 3800, AUSTRALIA Redmond, WA 98052, USA	page=0 xpos=1 ypos=1 single-column left-indent right-indent font-larger column-top headchar-capital above-line-space
Email	ingrid@csse.monash.edu.au horvitz@microsoft.com	page=0 xpos=1 ypos=1 single-column left-indent right-indent font-smallest indented-line line-space symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	We describe a set of supervised ma-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	chine learning experiments centering	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	on the construction of statistical mod-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	els of WH-questions. These models,	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-comma
I-Abstract	which are built from shallow linguis-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tic features of questions, are employed	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	to predict target variables which repre-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	sent a user’s informational goals. We	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	report on different aspects of the pre-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	dictive performance of our models, in-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	cluding the influence of various training	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and testing factors on predictive perfor-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	mance, and examine the relationships	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	among the target variables.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The growth in popularity of the Internet highlights	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	the importance of developing machinery for gen-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	erating responses to queries targeted at large un-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	structured corpora. At the same time, the access	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	of World Wide Web resources by large numbers	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	of users provides opportunities for collecting and	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	leveraging vast amounts of data about user activ-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity. In this paper, we describe research on exploit-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing data collected from logs of users’ queries in	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	order to build models that can be used to infer	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
E-Body	users’ informational goals from queries.	page=0 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	We describe experiments which use supervised	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	machine learning techniques to build statistical	page=0 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	models of questions posed to the Web-based En-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	carta encyclopedia service. We focus on mod-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	els and analyses of complete questions phrased	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	in English. These models predict a user’s infor-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mational goals from shallow linguistic features	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	of questions obtained from a natural language	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	parser. We decompose these goals into (1) the	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	type of information requested by the user (e.g.,	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-comma column-bottom
I-Body	definition, value of an attribute, explanation for an	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Body	event), (2) the topic, focal point and additional re-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	strictions posed by the question, and (3) the level	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	of detail of the answer. The long-term aim of this	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	project is to use predictions of these informational	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
