Title	Using Predicate-Argument Structures for Information Extraction	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Mihai Surdeanu and Sanda Harabagiu and John Williams and Paul Aarseth	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-larger aligned-line line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Language Computer Corp.	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital tailchar-period
Address	Richardson, Texas 75080, USA	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Email	mihai,sanda@languagecomputer.com	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-smaller hanged-line longer-tail symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	In this paper we present a novel, cus-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	tomizable IE paradigm that takes advan-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tage of predicate-argument structures. We	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	also introduce a new way of automatically	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	identifying predicate argument structures,	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-comma
I-Abstract	which is central to our IE paradigm. It is	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	based on: (1) an extended set of features;	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-semicolon
I-Abstract	and (2) inductive decision tree learning.	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	The experimental results prove our claim	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	that accurate predicate-argument struc-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tures enable high quality IE results.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The goal of recent Information Extraction (IE)	page=0 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	tasks was to provide event-level indexing into news	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	stories, including news wire, radio and television	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	sources. In this context, the purpose of the HUB	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	Event-99 evaluations (Hirschman et al., 1999) was	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-capital
I-Body	to capture information on some newsworthy classes	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	of events, e.g. natural disasters, deaths, bombings,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	elections, financial fluctuations or illness outbreaks.	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	The identification and selective extraction of rele-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	vant information is dictated by templettes. Event	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	templettes are frame-like structures with slots rep-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	resenting the event basic information, such as main	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	event participants, event outcome, time and loca-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion. For each type of event, a separate templette	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	is defined. The slots fills consist of excerpts from	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	text with pointers back into the original source mate-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rial. Templettes are designed to support event-based	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	browsing and search. Figure 1 illustrates a templette	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	defined for “market changes” as well as the source	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
E-Body	of the slot fillers.	page=0 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Figure	__Figure 1__	page=0 xpos=6 ypos=3 right-column centered left-indent right-indent box indented-line longer-tail line-double-space line-space figure-area above-line-space
B-Caption	Figure 1: Templette filled with information about a	page=0 xpos=5 ypos=4 right-column full-justified hanged-line longer-tail line-space string-figure headchar-capital
E-Caption	market change event.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Body	To date, some of the most successful IE tech-	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Body	niques are built around a set of domain relevant lin-	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	guistic patterns based on select verbs (e.g. fall, gain	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	or lose for the “market change” topic). These pat-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	terns are matched against documents for identifying	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	and extracting domain-relevant information. Such	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	patterns are either handcrafted or acquired automat-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ically. A rich literature covers methods of automati-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cally acquiring IE patterns. Some of the most recent	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	methods were reported in (Riloff, 1996; Yangarber	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
E-Body	et al., 2000).	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	To process texts efficiently and fast, domain pat-	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	terns are ideally implemented as finite state au-	page=0 xpos=5 ypos=8 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tomata (FSAs), a methodology pioneered in the	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	F ASTUS IE system (Hobbs et al., 1997). Although	page=0 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-capital
I-Body	this paradigm is simple and elegant, it has the dis-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	advantage that it is not easily portable from one do-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	main of interest to the next.	page=0 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In contrast, a new, truly domain-independent IE	page=0 xpos=5 ypos=9 right-column left-indent indented-line longer-tail headchar-capital
I-Body	paradigm may be designed if we know (a) predicates	page=0 xpos=5 ypos=9 right-column full-justified hanged-line headchar-lower
I-Body	relevant to a domain; and (b) which of their argu-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen page-bottom
I-Body	ments fill templette slots. Central to this new way	page=1 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	of extracting information from texts are systems that	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	label predicate-argument structures on the output of	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	full parsers. One such augmented parser, trained on	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	data available from the PropBank project has been	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	recently presented in (Gildea and Palmer, 2002).	page=1 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	In this paper we describe a domain-independent IE	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital
I-Body	paradigm that is based on predicate-argument struc-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures identified automatically by two different meth-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ods: (1) the statistical method reported in (Gildea	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	and Palmer, 2002); and (2) a new method based	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower
I-Body	on inductive learning which obtains 17% higher F-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	score over the first method when tested on the same	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	data. The accuracy enhancement of predicate argu-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ment recognition determines up to 14% better IE re-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sults. These results enforce our claim that predicate	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	argument information for IE needs to be recognized	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	with high accuracy.	page=1 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
