Title	A Machine Learning Approach to Pronoun Resolution in Spoken Dialogue	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Michael Strube and Christoph Müller	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	European Media Laboratory GmbH	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
I-Affiliation	Villa Bosch	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Address	Schloß-Wolfsbrunnenweg 33	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Address	69118 Heidelberg, Germany	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger above-line-space
Email	michael.strube|christoph.mueller  @eml.villa-bosch.de	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-smallest hanged-line longer-tail line-space symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	We apply a decision tree based approach	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Abstract	to pronoun resolution in spoken dialogue.	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	Our system deals with pronouns with NP-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	and non-NP-antecedents. We present a set	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	of features designed for pronoun resolu-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion in spoken dialogue and determine the	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	most promising features. We evaluate the	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	system on twenty Switchboard dialogues	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and show that it compares well to Byron’s	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	(2002) manually tuned system.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail year tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Corpus-based methods and machine learning tech-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	niques have been applied to anaphora resolution in	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	written text with considerable success (Soon et al.,	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	2001; Ng & Cardie, 2002, among others). It has	page=0 xpos=0 ypos=6 left-column full-justified aligned-line year
I-Body	been demonstrated that systems based on these ap-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proaches achieve a performance that is comparable	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	to hand-crafted systems. Since they can easily be	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	applied to new domains it seems also feasible to	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	port a given corpus-based anaphora resolution sys-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tem from written text to spoken dialogue. This pa-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	per describes the extensions and adaptations needed	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	for applying our anaphora resolution system (Müller	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	et al., 2002; Strube et al., 2002) to pronoun resolu-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
E-Body	tion in spoken dialogue.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	There are important differences between written	page=0 xpos=0 ypos=9 left-column left-indent indented-line longer-tail headchar-capital
I-Body	text and spoken dialogue which have to be accounted	page=0 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower
I-Body	for. The most obvious difference is that in spo-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ken dialogue there is an abundance of (personal and	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	demonstrative) pronouns with non-NP-antecedents	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	or no antecedents at all. Corpus studies have shown	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Body	that a significant amount of pronouns in spoken di-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	alogue have non-NP-antecedents: Byron & Allen	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
