Title	Flexible Guidance Generation using	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital
Title	User Model in Spoken Dialogue Systems	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital column-bottom above-blank-line above-double-space above-line-space
Author	Kazunori Komatani Shinichi Ueno Tatsuya Kawahara Hiroshi G. Okuno	page=0 xpos=0 ypos=0 left-column left-indent right-over font-largest column-top line-blank-line line-double-space line-space headchar-capital column-bottom
B-Affiliation	Graduate School of Informatics	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-largest column-top headchar-capital
I-Affiliation	Kyoto University	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital
Address	Yoshida-Hommachi, Sakyo, Kyoto 606-8501, Japan	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital
Email	f komatani,ueno,kawahara,okuno g @kuis.kyoto-u.ac.jp	page=0 xpos=1 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail symbol-atmark itemization headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	We address appropriate user modeling in	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Abstract	order to generate cooperative responses to	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	each user in spoken dialogue systems. Un-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	like previous studies that focus on user’s	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	knowledge or typical kinds of users, the	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	user model we propose is more compre-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	hensive. Specifically, we set up three di-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	mensions of user models: skill level to	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the system, knowledge level on the tar-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	get domain and the degree of hastiness.	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	Moreover, the models are automatically	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	derived by decision tree learning using	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	real dialogue data collected by the sys-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tem. We obtained reasonable classifica-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion accuracy for all dimensions. Dia-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	logue strategies based on the user model-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ing are implemented in Kyoto city bus in-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	formation system that has been developed	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	at our laboratory. Experimental evalua-	page=0 xpos=0 ypos=7 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion shows that the cooperative responses	page=0 xpos=0 ypos=7 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	adaptive to individual users serve as good	page=0 xpos=0 ypos=7 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	guidance for novice users without increas-	page=0 xpos=0 ypos=7 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ing the dialogue duration for skilled users.	page=0 xpos=0 ypos=7 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=8 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	A spoken dialogue system is one of the promising	page=0 xpos=0 ypos=8 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	applications of the speech recognition and natural	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	language understanding technologies. A typical task	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	of spoken dialogue systems is database retrieval.	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Some IVR (interactive voice response) systems us-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ing the speech recognition technology are being put	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	into practical use as its simplest form. According to	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Body	the spread of cellular phones, spoken dialogue sys-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tems via telephone enable us to obtain information	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	from various places without any other special appa-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	ratuses.	page=0 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	However, the speech interface involves two in-	page=0 xpos=5 ypos=3 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	evitable problems: one is speech recognition er-	page=0 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	rors, and the other is that much information can-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	not be conveyed at once in speech communications.	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Therefore, the dialogue strategies, which determine	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital
I-Body	when to make guidance and what the system should	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
