Title	Language Model Based Arabic Word Segmentation	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Young-Suk Lee Kishore Papineni Salim Roukos	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	IBM T. J. Watson Research Center	page=0 xpos=2 ypos=0 single-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Address	Yorktown Heights, NY 10598	page=0 xpos=3 ypos=0 single-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital above-blank-line above-double-space above-line-space
Author	Ossama Emam Hany Hassan	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	IBM Cairo Technology Development Center	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Address	P.O.Box 166, El-Ahram, Giza, Egypt	page=0 xpos=2 ypos=1 single-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	We approximate Arabic’s rich	page=0 xpos=0 ypos=3 left-column full-justified hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Abstract	morphology by a model that a word	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Abstract	consists of a sequence of morphemes in	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Abstract	the pattern prefix*-stem-suffix* (*	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Abstract	denotes zero or more occurrences of a	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Abstract	morpheme). Our method is seeded by a	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Abstract	small manually segmented Arabic corpus	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Abstract	and uses it to bootstrap an unsupervised	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Abstract	algorithm to build the Arabic word	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Abstract	segmenter from a large unsegmented	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Abstract	Arabic corpus. The algorithm uses a	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-capital
