Title	Towards a Model of Face-to-Face Grounding	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-double-space above-line-space
Author	Yukiko I. Nakano <sup>†/††</sup> Gabe Reinstein † Tom Stocky † Justine Cassell †	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail line-double-space line-space symbol-dagger headchar-capital column-bottom
B-Affiliation	<sup>†</sup> MIT Media Laboratory	page=0 xpos=1 ypos=0 left-column left-indent right-indent font-largest column-top symbol-dagger headchar-super
Address	E15-315	page=0 xpos=2 ypos=0 left-column left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Address	20 Ames Street	page=0 xpos=1 ypos=1 left-column left-indent right-indent font-larger hanged-line longer-tail numbered-heading1
Address	Cambridge, MA 02139 USA	page=0 xpos=0 ypos=1 left-column left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Email	{yukiko, gabe, tstocky, justine}@media.mit.edu	page=0 xpos=0 ypos=1 left-column left-over right-indent font-larger hanged-line longer-tail symbol-atmark above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=2 ypos=2 left-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	We investigate the verbal and nonverbal	page=0 xpos=0 ypos=2 left-column left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	means for grounding, and propose a design	page=0 xpos=0 ypos=2 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	for embodied conversational agents that re-	page=0 xpos=0 ypos=2 left-column left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	lies on both kinds of signals to establish	page=0 xpos=0 ypos=3 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	common ground in human-computer inter-	page=0 xpos=0 ypos=3 left-column left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	action. We analyzed eye gaze, head nods	page=0 xpos=0 ypos=3 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	and attentional focus in the context of a di-	page=0 xpos=0 ypos=3 left-column left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	rection-giving task. The distribution of	page=0 xpos=0 ypos=3 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	nonverbal behaviors differed depending on	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	the type of dialogue move being grounded,	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line headchar-lower tailchar-comma
I-Abstract	and the overall pattern reflected a monitor-	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ing of lack of negative feedback. Based on	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	these results, we present an ECA that uses	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line headchar-lower
I-Abstract	verbal and nonverbal grounding acts to up-	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	date dialogue state.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	An essential part of conversation is to ensure that	page=0 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	the other participants share an understanding of	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	what has been said, and what is meant. The proc-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ess of ensuring that understanding – adding what	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	has been said to the common ground – is called	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	grounding [1]. In face-to-face interaction, nonver-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bal signals as well as verbal participate in the	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	grounding process, to indicate that an utterance is	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	grounded, or that further work is needed to ground.	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Figure 1 shows an example of human face-to-face	page=0 xpos=0 ypos=7 left-column full-justified aligned-line string-figure headchar-capital
I-Body	conversation. Even though no verbal feedback is	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	provided, the speaker (S) continues to add to the	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	directions. Intriguingly, the listener gives no ex-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	plicit nonverbal feedback – no nods or gaze to-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	wards S. S, however, is clearly monitoring the	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	listener’s behavior, as we see by the fact that S	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	looks at her twice (continuous lines above the	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	words). In fact, our analyses show that maintaining	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
