Title	Modeling Local Coherence: An Entity-based Approach	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital column-bottom above-blank-line above-double-space above-line-space
Author	Regina Barzilay Mirella Lapata	page=0 xpos=1 ypos=0 left-column left-indent right-over font-larger column-top line-blank-line line-double-space line-space headchar-capital column-bottom
B-Affiliation	Computer Science and Artificial Intelligence Laboratory School of Informatics	page=0 xpos=0 ypos=0 single-column left-over right-indent font-larger column-top headchar-capital column-bottom
I-Affiliation	Massachusetts Institute of Technology	page=0 xpos=0 ypos=0 left-column left-indent right-indent font-larger column-top headchar-capital
Email	regina@csail.mit.edu	page=0 xpos=1 ypos=1 left-column left-indent right-indent font-smaller indented-line shorter-tail symbol-atmark headchar-lower above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=2 ypos=1 left-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	This paper considers the problem of auto-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	matic assessment of local coherence. We	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	present a novel entity-based representa-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion of discourse which is inspired by Cen-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tering Theory and can be computed au-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tomatically from raw text. We view co-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	herence assessment as a ranking learning	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	problem and show that the proposed dis-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	course representation supports the effec-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tive learning of a ranking function. Our	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	experiments demonstrate that the induced	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	model achieves significantly higher ac-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	curacy than a state-of-the-art coherence	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	model.	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	A key requirement for any system that produces	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	text is the coherence of its output. Not surprisingly,	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	a variety of coherence theories have been devel-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line itemization headchar-lower tailchar-hiphen
I-Body	oped over the years (e.g., Mann and Thomson, 1988;	page=0 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower tailchar-semicolon
I-Body	Grosz et al. 1995) and their principles have found	page=0 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-capital
