Title	Automatic Acquisition of Adjectival Subcategorization from Corpora	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Jeremy Yallop ∗ , Anna Korhonen, and Ted Briscoe	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Computer Laboratory	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
I-Affiliation	University of Cambridge	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Address	15 JJ Thomson Avenue	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail numbered-heading1
Address	Cambridge CB3 OFD, UK	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Email	yallop@cantab.net, {Anna.Korhonen, Ted.Briscoe}@cl.cam.ac.uk	page=0 xpos=1 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	This paper describes a novel system	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	for acquiring adjectival subcategorization	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	frames ( SCF s) and associated frequency	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	information from English corpus data.	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	The system incorporates a decision-tree	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-capital
I-Abstract	classifier for 30 SCF types which tests	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	for the presence of grammatical relations	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	( GR s) in the output of a robust statisti-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line tailchar-hiphen
I-Abstract	cal parser. It uses a powerful pattern-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	matching language to classify GR s into	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	frames hierarchically in a way that mirrors	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	inheritance-based lexica. The experiments	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	show that the system is able to detect SCF	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	types with 70% precision and 66% recall	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	rate. A new tool for linguistic annotation	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	of SCF s in corpus data is also introduced	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	which can considerably alleviate the pro-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	cess of obtaining training and test data for	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	subcategorization acquisition.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=6 left-column right-indent font-larger hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Research into automatic acquisition of lexical in-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	formation from large repositories of unannotated	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	text (such as the web, corpora of published text,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	etc.) is starting to produce large scale lexical re-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sources which include frequency and usage infor-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mation tuned to genres and sublanguages. Such	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	resources are critical for natural language process-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing ( NLP ), both for enhancing the performance of	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	∗	page=0 xpos=0 ypos=8 left-column left-indent right-indent font-smallest indented-line shorter-tail line-double-space line-space
I-Footnote	Part of this research was conducted while this author was	page=0 xpos=0 ypos=8 left-column left-indent font-smallest aligned-line longer-tail headchar-capital
I-Footnote	at the University of Edinburgh Laboratory for Foundations of	page=0 xpos=0 ypos=8 left-column full-justified font-smallest hanged-line headchar-lower
I-Footnote	Computer Science.	page=0 xpos=0 ypos=9 left-column right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period column-bottom
I-Body	state-of-art statistical systems and for improving the	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
E-Body	portability of these systems between domains.	page=0 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	One type of lexical information with particular	page=0 xpos=5 ypos=2 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	importance for NLP is subcategorization. Access	page=0 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	to an accurate and comprehensive subcategoriza-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion lexicon is vital for the development of success-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ful parsing technology (e.g. (Carroll et al., 1998b),	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	important for many NLP tasks (e.g. automatic verb	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	classification (Schulte im Walde and Brew, 2002))	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower
I-Body	and useful for any application which can benefit	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	from information about predicate-argument struc-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ture (e.g. Information Extraction ( IE ) (Surdeanu et	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	al., 2003)).	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period above-line-space
B-Body	The first systems capable of automatically learn-	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ing a small number of verbal subcategorization	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	frames ( SCF s) from English corpora emerged over	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	a decade ago (Brent, 1991; Manning, 1993). Subse-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line itemization year headchar-lower tailchar-hiphen
I-Body	quent research has yielded systems for English (Car-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	roll and Rooth, 1998; Briscoe and Carroll, 1997; Ko-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	rhonen, 2002) capable of detecting comprehensive	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower
I-Body	sets of SCF s with promising accuracy and demon-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	strated success in application tasks (e.g. (Carroll et	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	al., 1998b; Korhonen et al., 2003)), besides systems	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower
I-Body	for a number of other languages (e.g. (Kawahara and	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	Kurohashi, 2002; Ferrer, 2004)).	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail year headchar-capital tailchar-period above-line-space
B-Body	While there has been considerable research into	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	acquisition of verb subcategorization, we are not	page=0 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower
I-Body	aware of any systems built for adjectives. Al-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	though adjectives are syntactically less multivalent	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	than verbs, and although verb subcategorization dis-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tribution data appears to offer the greatest potential	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	boost in parser performance, accurate and compre-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	hensive knowledge of the many adjective SCF s can	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	improve the accuracy of parsing at several levels	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	614	page=0 xpos=4 ypos=9 single-column left-indent right-indent column-top line-blank-line line-double-space line-space numeric-only
B-Footer	Proceedings of the 43rd Annual Meeting of the ACL, pages 614–621,	page=0 xpos=2 ypos=9 single-column left-indent right-indent font-smallest hanged-line longer-tail headchar-capital tailchar-comma
I-Footer	Ann Arbor, June 2005.  2005 c Association for Computational Linguistics	page=0 xpos=1 ypos=9 single-column left-indent right-indent font-smallest hanged-line longer-tail year headchar-capital page-bottom
I-Body	(from tagging to syntactic and semantic analysis).	page=1 xpos=0 ypos=0 left-column full-justified page-top tailchar-period
I-Body	Automatic SCF acquisition techniques are particu-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	larly important for adjectives because extant syntax	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	dictionaries provide very limited coverage of adjec-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tive subcategorization.	page=1 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In this paper we propose a method for automatic	page=1 xpos=0 ypos=1 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	acquisition of adjectival SCF s from English corpus	page=1 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower
I-Body	data. Our method has been implemented using a	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	decision-tree classifier which tests for the presence	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	of grammatical relations ( GR s) in the output of the	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	RASP (Robust Accurate Statistical Parsing) system	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Body	(Briscoe and Carroll, 2002). It uses a powerful task-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year tailchar-hiphen
I-Body	specific pattern-matching language which enables	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	the frames to be classified hierarchically in a way	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	that mirrors inheritance-based lexica. As reported	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	later, the system is capable of detecting 30 SCF s	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	with an accuracy comparable to that of best state-of-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	art verbal SCF acquisition systems (e.g. (Korhonen,	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
E-Body	2002)).	page=1 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail year tailchar-period above-line-space
B-Body	Additionally, we present a novel tool for linguistic	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	annotation of SCF s in corpus data aimed at alleviat-	page=1 xpos=0 ypos=4 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing the process of obtaining training and test data for	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	subcategorization acquisition. The tool incorporates	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	an intuitive interface with the ability to significantly	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	reduce the number of frames presented to the user	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	for each sentence.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	We discuss adjectival subcategorization in sec-	page=1 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	tion 2 and introduce the system for SCF acquisition	page=1 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower
I-Body	in section 3. Details of the annotation tool and the	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	experimental evaluation are supplied in section 4.	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Section 5 provides discussion on our results and fu-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital tailchar-hiphen
E-Body	ture work, and section 6 summarises the paper.	page=1 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Adjectival Subcategorization	page=1 xpos=0 ypos=6 left-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Although the number of SCF types for adjectives	page=1 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	is smaller than the number reported for verbs	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	(e.g. (Briscoe and Carroll, 1997)), adjectives never-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line year tailchar-hiphen
I-Body	theless exhibit rich syntactic behaviour. Besides the	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	common attributive and predicative positions there	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	are at least six further positions in which adjec-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tives commonly occur (see figure 1). Adjectives in	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	predicative position can be further classified accord-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing to the nature of the arguments with which they	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	combine — finite and non-finite clauses and noun	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	phrases, phrases with and without complementisers,	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	etc. — and whether they occur as subject or ob-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ject. Additional distinctions can be made concern-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen column-bottom
Figure	__Figure 1__	page=1 xpos=5 ypos=-1 right-column left-over right-over box column-top figure-area above-double-space above-line-space
B-Caption	Figure 1: Fundamental adjectival frames	page=1 xpos=5 ypos=1 right-column centered left-indent right-indent indented-line shorter-tail line-double-space line-space string-figure headchar-capital above-blank-line above-double-space above-line-space
I-Body	ing such features as the mood of the complement	page=1 xpos=5 ypos=2 right-column full-justified hanged-line longer-tail line-blank-line line-double-space line-space headchar-lower
I-Body	(mandative, interrogative, etc.), preferences for par-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line tailchar-hiphen
I-Body	ticular prepositions and whether the subject is extra-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	posed.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Even ignoring preposition preference, there are	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital
