Title	Ensemble Methods for Unsupervised WSD	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-smallest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Samuel Brody Roberto Navigli Mirella Lapata	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-smallest hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	School of Informatics Dipartimento di Informatica School of Informatics	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital
I-Affiliation	University of Edinburgh Università di Roma “La Sapienza” University of Edinburgh	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital above-double-space above-line-space
Email	s.brody@sms.ed.ac.uk navigli@di.uniroma1.it mlap@inf.ed.ac.uk	page=0 xpos=0 ypos=1 single-column left-indent right-indent font-smallest shorter-tail line-double-space line-space symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=2 ypos=1 left-column centered left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	Combination methods are an effective way	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	of improving system performance. This	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	paper examines the benefits of system	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	combination for unsupervised WSD. We	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	investigate several voting- and arbiter-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	based combination strategies over a di-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	verse pool of unsupervised WSD systems.	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	Our combination methods rely on predom-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	inant senses which are derived automati-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	cally from raw text. Experiments using the	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	SemCor and Senseval-3 data sets demon-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	strate that our ensembles yield signifi-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	cantly better results when compared with	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	state-of-the-art.	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=4 left-column right-indent font-smallest hanged-line line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Word sense disambiguation (WSD), the task of	page=0 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	identifying the intended meanings (senses) of	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	words in context, holds promise for many NLP	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	applications requiring broad-coverage language	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	understanding. Examples include summarization,	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	question answering, and text simplification. Re-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cent studies have also shown that WSD can ben-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	efit machine translation (Vickrey et al., 2005) and	page=0 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
E-Body	information retrieval (Stokoe, 2005).	page=0 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	Given the potential of WSD for many NLP	page=0 xpos=0 ypos=6 left-column left-indent indented-line longer-tail headchar-capital
I-Body	tasks, much work has focused on the computa-	page=0 xpos=0 ypos=6 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tional treatment of sense ambiguity, primarily us-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing data-driven methods. Most accurate WSD sys-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tems to date are supervised and rely on the avail-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ability of training data, i.e., corpus occurrences of	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	ambiguous words marked up with labels indicat-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing the appropriate sense given the context (see	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	Mihalcea and Edmonds 2004 and the references	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-capital
I-Body	therein). A classifier automatically learns disam-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	biguation cues from these hand-labeled examples.	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period
B-Body	Although supervised methods typically achieve	page=0 xpos=0 ypos=8 left-column left-indent indented-line headchar-capital
I-Body	better performance than unsupervised alternatives,	page=0 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower tailchar-comma
I-Body	their applicability is limited to those words for	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	which sense labeled data exists, and their accu-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	racy is strongly correlated with the amount of la-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	beled data available (Yarowsky and Florian, 2002).	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower tailchar-period column-bottom
I-Body	Furthermore, obtaining manually labeled corpora	page=0 xpos=5 ypos=1 right-column full-justified column-top headchar-capital
I-Body	with word senses is costly and the task must be	page=0 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
