Title	Parsing a Polysynthetic Language	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Petr Homola	page=0 xpos=4 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Codesign, s.r.o.	page=0 xpos=4 ypos=0 single-column centered left-indent right-indent font-larger hanged-line longer-tail headchar-capital tailchar-period
Email	phomola@codesign.cz	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-smaller hanged-line longer-tail symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=1 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	We present the results of a project of build-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	ing a lexical-functional grammar of Ay-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	mara, an Amerindian language. There was	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	almost no research on Aymara in compu-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tational linguistics to date. The goal of	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the project is two-fold: First, we want to	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	provide a formal description of the lan-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	guage. Second, NLP resources (lexicon	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and grammar) are being developed that	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	could be used in machine translation and	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	other NLP tasks. The paper presents for-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	mal description of selected properties of	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	Aymara which are uncommon in well-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	researched Western languages. Further-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	more, we present an experimental machine	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	translation system into Spanish and En-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	glish.	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-largest hanged-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Aymara is an Amerindian language spoken in Bo-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	livia, Chile and Peru by approx. two million peo-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ple. It is a polysynthetic language that has many	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	lexical and structural similarities with Quechua	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	but the often suggested genetic relationship be-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tween these languages is still disputed.	page=0 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The only research on Aymara in the field	page=0 xpos=0 ypos=6 left-column left-indent indented-line longer-tail headchar-capital
I-Body	of computational linguistics we know about is	page=0 xpos=0 ypos=6 left-column full-justified hanged-line headchar-lower
I-Body	the project described in (Beesley, 2006). The	page=0 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-lower
I-Body	presented project uses Lexical-Functional Gram-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mar (LFG) (Kaplan and Bresnan, 1982; Bresnan,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	2001) to formally describe the lexicon, morphol-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year tailchar-hiphen
I-Body	ogy and syntax of Aymara in a manner suitable	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	for natural language processing (NLP). The gram-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mar we have implemented is capable of parsing	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	complex sentences with embedded clauses. We	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	have also done experiments with machine transla-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion (MT) into Spanish and English; the results are	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	presented in Section 4.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Aymara is a polysynthetic language with a very	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	complicated system of polypersonal agreement	page=0 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower column-bottom
