Title	SemEval-2015 Task 2: Semantic Textual Similarity,	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top year headchar-capital tailchar-comma
Title	English, Spanish and Pilot on Interpretability	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-double-space above-line-space
Author	Eneko Agirre <sup>a∗</sup> , Carmen Banea b∗ , Claire Cardie c , Daniel Cer d , Mona Diab e∗ ,	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-largest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-comma
Author	Aitor Gonzalez-Agirre <sup>a</sup> , Weiwei Guo f , Iñigo Lopez-Gazpio a , Montse Maritxalar a∗ ,	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital tailchar-comma
Author	Rada Mihalcea <sup>b</sup> , German Rigau a , Larraitz Uria a , Janyce Wiebe g	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-double-space above-line-space
B-Affiliation	<sup>a</sup> University of the Basque Country b University of Michigan <sup>c</sup> Cornell University	page=0 xpos=0 ypos=1 single-column left-over right-indent font-largest hanged-line longer-tail line-double-space line-space headchar-super
I-Affiliation	Donostia, Basque Country Ann Arbor, MI Ithaca, NY	page=0 xpos=0 ypos=1 single-column left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-double-space above-line-space
I-Affiliation	<sup>d</sup> Google Inc. <sup>e</sup> George Washington University f Columbia University	page=0 xpos=1 ypos=1 single-column left-indent right-indent font-largest indented-line longer-tail line-double-space line-space headchar-super
I-Affiliation	Mountain View, CA Washington, DC New York, NY	page=0 xpos=0 ypos=2 single-column left-indent right-indent font-largest hanged-line shorter-tail headchar-capital above-double-space above-line-space
I-Affiliation	<sup>g</sup> University of Pittsburgh	page=0 xpos=3 ypos=2 single-column centered left-indent right-indent font-largest indented-line shorter-tail line-double-space line-space headchar-super
I-Affiliation	Pittsburgh, PA	page=0 xpos=4 ypos=2 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-blank-line above-double-space above-line-space
B-Abstract	In semantic textual similarity (STS), systems	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Abstract	rate the degree of semantic equivalence be-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	tween two text snippets. This year, the par-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	ticipants were challenged with new datasets in	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
