Title	A Shared Task Involving Multi-label Classification of Clinical Free Text	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	John P. Pestian <sup>1</sup> , Christopher Brew 2 , Paweł Matykiewicz 1,4 ,	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-largest indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital tailchar-comma
Author	DJ Hovermale <sup>2</sup> , Neil Johnson 1 , K. Bretonnel Cohen 3 ,	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital tailchar-comma
Author	Włodzisław Duch <sup>4</sup>	page=0 xpos=3 ypos=0 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital
B-Affiliation	<sup>1</sup> Cincinnati Children’s Hospital Medical Center, University of Cincinnati,	page=0 xpos=1 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-super tailchar-comma
I-Affiliation	<sup>2</sup> Ohio State University, Department of Linguistics,	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-super tailchar-comma
I-Affiliation	<sup>3</sup> University of Colorado School of Medicine,	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-super tailchar-comma
I-Affiliation	<sup>4</sup> Nicolaus Copernicus University, Toruń, Poland.	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-super tailchar-period column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	This paper reports on a shared task involving	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	the assignment of ICD-9-CM codes to radi-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ology reports. Two features distinguished	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	this task from previous shared tasks in the	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	biomedical domain. One is that it resulted in	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the first freely distributable corpus of fully	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	anonymized clinical text. This resource is	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	permanently available and will (we hope) fa-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	cilitate future research. The other key fea-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
