Title	Experts’ Retrieval with Multiword-Enhanced Author Topic Model	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Nikhil Johri Dan Roth Yuancheng Tu	page=0 xpos=2 ypos=0 single-column left-indent right-indent font-larger indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Dept. of Computer Science Dept. of Linguistics	page=0 xpos=2 ypos=0 single-column left-indent right-indent font-larger hanged-line longer-tail headchar-capital
I-Affiliation	University of Illinois at Urbana-Champaign	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-larger indented-line shorter-tail headchar-capital
Email	{njohri2,danr,ytu}@illinois.edu	page=0 xpos=2 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail symbol-atmark column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-larger column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	In this paper, we propose a multiword-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	enhanced author topic model that clusters au-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	thors with similar interests and expertise, and	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	apply it to an information retrieval system that	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	returns a ranked list of authors related to a key-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	word. For example, we can retrieve Eugene	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	Charniak via search for statistical parsing.	page=0 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period above-line-space
I-Abstract	The existing works on author topic model-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line longer-tail line-space headchar-capital tailchar-hiphen
I-Abstract	ing assume a “bag-of-words” representation.	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-period
I-Abstract	However, many semantic atomic concepts are	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-capital
I-Abstract	represented by multiwords in text documents.	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-period
I-Abstract	This paper presents a pre-computation step as	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent font-smallest aligned-line headchar-capital
I-Abstract	a way to discover these multiwords in the cor-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent font-smallest aligned-line itemization headchar-lower tailchar-hiphen
I-Abstract	pus automatically and tags them in the term-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	document matrix. The key advantage of this	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	method is that it retains the simplicity and	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	the computational efficiency of the unigram	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	model. In addition to a qualitative evaluation,	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-comma
I-Abstract	we evaluate the results by using the topic mod-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	els as a component in a search engine. We ex-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	hibit improved retrieval scores when the docu-	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower tailchar-hiphen
I-Abstract	ments are represented via sets of latent topics	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent font-smallest aligned-line headchar-lower
I-Abstract	and authors.	page=0 xpos=0 ypos=6 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=7 left-column right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	This paper addresses the problem of searching peo-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ple with similar interests and expertise without in-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	putting personal names as queries. Many existing	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	people search engines need people’s names to do a	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	“keyword” style search, using a person’s name as a	page=0 xpos=0 ypos=8 left-column full-justified aligned-line
I-Body	query. However, in many situations, such informa-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion is impossible to know beforehand. Imagine a	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	scenario where the statistics department of a univer-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sity invited a world-wide known expert in Bayesian	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower above-blank-line above-double-space above-line-space
Page	10	page=0 xpos=4 ypos=9 left-column left-indent right-over indented-line line-blank-line line-double-space line-space numeric-only column-bottom
I-Body	statistics and machine learning to give a keynote	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Body	speech; how can the department head notify all the	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	people on campus who are interested without spam-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ming those who are not? Our paper proposes a solu-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion to the aforementioned scenario by providing a	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	search engine which goes beyond “keyword” search	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	and can retrieve such information semantically. The	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	department head would only need to input the do-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	main keyword of the keynote speaker, i.e. Bayesian	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	statistics, machine learning, and all professors and	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	students who are interested in this topic will be	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	retrieved. Specifically, we propose a Multiword-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	enhanced Author-Topic Model (MATM), a proba-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bilistic generative model which assumes two steps	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	of generation process when producing a document.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Statistical topical modeling (Blei and Lafferty,	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-comma
I-Body	2009a) has attracted much attention recently due to	page=0 xpos=5 ypos=5 right-column full-justified hanged-line year
I-Body	its broad applications in machine learning, text min-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing and information retrieval. In these models, se-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mantic topics are represented by multinomial distri-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bution over words. Typically, the content of each	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	topic is visualized by simply listing the words in or-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	der of decreasing probability and the “meaning” of	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	each topic is reflected by the top 10 to 20 words in	page=0 xpos=5 ypos=7 right-column full-justified font-largest aligned-line headchar-lower
I-Body	that list. The Author-Topic Model (ATM) (Steyvers	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	et al., 2004; Rosen-Zvi et al., 2004) extends the ba-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	sic topical models to include author information in	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
