Title	Sense-level Subjectivity in a Multilingual Setting	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	Carmen Banea Rada Mihalcea Janyce Wiebe	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-largest hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
B-Affiliation	University of North Texas University of North Texas University of Pittsburgh	page=0 xpos=0 ypos=0 single-column left-indent right-indent font-larger hanged-line longer-tail headchar-capital
Email	carmenbanea@my.unt.edu rada@cs.unt.edu wiebe@cs.pitt.edu	page=0 xpos=0 ypos=1 single-column left-over right-indent font-smaller hanged-line longer-tail symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=1 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	This paper explores the ability of senses	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	aligned across languages to carry coher-	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ent subjectivity information. We start out	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	with a manual annotation study, and then	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	seek to create an automatic framework to	page=0 xpos=0 ypos=2 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	determine subjectivity labeling for unseen	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	senses. We identify two methods that are	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	able to incorporate subjectivity informa-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion originating from different languages,	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-comma
I-Abstract	namely co-training and multilingual vec-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tor spaces, and show that for this task the	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	latter method is better suited and obtains	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	superior results.	page=0 xpos=0 ypos=4 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=4 left-column right-indent font-largest hanged-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Following the terminology proposed by (Wiebe	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	et al., 2005), subjectivity and sentiment analysis	page=0 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
I-Body	focuses on the automatic identification of private	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	states (opinions, emotions, sentiments, etc.) in	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	natural language. While subjectivity classification	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	labels text as either subjective or objective, sen-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	timent or polarity classification further classifies	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	subjective text as either positive, negative or neu-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tral.	page=0 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	To date, a large number of text processing ap-	page=0 xpos=0 ypos=6 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	plications have used techniques for automatic sen-	page=0 xpos=0 ypos=6 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	timent and subjectivity analysis, including auto-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	matic expressive text-to-speech synthesis (Alm et	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	al., 1990), tracking sentiment timelines in on-line	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	forums and news (Balog et al., 2006; Lloyd et al.,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	2005), and mining opinions from product reviews	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year
I-Body	(Hu and Liu, 2004). In many natural language	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year
I-Body	processing tasks, subjectivity and sentiment clas-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sification has been used as a first phase filtering to	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	generate more viable data. Research that benefited	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	from this additional layering ranges from ques-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion answering (Yu and Hatzivassiloglou, 2003),	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	to conversation summarization (Carenini et al.,	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	2008), text semantic analysis (Wiebe and Mihal-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year tailchar-hiphen above-double-space above-line-space
Page	44	page=0 xpos=4 ypos=9 left-column left-indent right-over indented-line longer-tail line-double-space line-space numeric-only column-bottom
I-Body	cea, 2006; Esuli and Sebastiani, 2006a) and lexical	page=0 xpos=5 ypos=1 right-column full-justified column-top year headchar-lower
E-Body	substitution (Su and Markert, 2010).	page=0 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	While research in English has underlined that	page=0 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital
I-Body	the most robust subjectivity delineation occurs at	page=0 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	sense and not at word level (Wiebe and Mihalcea,	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	2006), we are not aware of this consideration im-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year tailchar-hiphen
I-Body	pacting research in other languages. For this rea-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	son, in this work we seek to analyze how subjec-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tivity is maintained across sense aligned resources,	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and identify ways in which subjectivity at sense	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	level may be employed in a multilingual frame-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	work to provide a strengthened automatic sense-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	level classification.	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
